question_no	pdf_page	source_label	preview
446	449	i.iv.iv.ii.ii.v)2026 数一二三	i.iv.iv.ii.ii.v)2026 数一二三 求函数 f x,y = 2x 2-y 2  e x的极值. 大观严选题 —— 澄潇宇
447	450	i.iv.iv.ii.ii.vi)2017 数三	i.iv.iv.ii.ii.vi)2017 数三 (2) 二元函数 z = xy3-x-y 的极值点是 ( ) A. 0,0 . B. 0,3 . C. 3,0 . D. 1,1 . 大观严选题 —— 澄潇宇 第 447 页，共 767 页
448	451	i.iv.iv.ii.ii.vii.vd2020 数一二三	i.iv.iv.ii.ii.vii.vd2020 数一二三 求函数 f x,y = x 3+ 8y 3- xy 的极值. 大观严选题 —— 澄潇宇 第 448 页，共 767 页
449	452	i.iv.iv.ii.ii.viii)2024 数二三	i.iv.iv.ii.ii.viii)2024 数二三 函数 f x,y = 2x 3- 9x 2- 6y 4+ 12x + 24y 的极值点是 _____. 大观严选题 —— 澄潇宇 第 449 页，共 767 页
450	453	i.iv.iv.ii.ii.ix)2023 数一	i.iv.iv.ii.ii.ix)2023 数一 求函数 f x,y = y-x 2   y-x 3  的极值. 大观严选题 —— 澄潇宇
451	454	i.iv.iv.ii.ii.x)2023 数二	i.iv.iv.ii.ii.x)2023 数二 求函数 f x,y = xe cosy+ x 2 2 的极值. 大观严选题 —— 澄潇宇
452	455	(a.d.d.b.c.a.a)2015 数二	(1.4.4.2.3) 先求函数再求极值 i.iv.iv.ii.ii.i) 已知偏导数 (a.d.d.b.c.a.a)2015 数二 已知函数 f x,y 满足 f ′′ xyx,y = 2 y+1 e x
453	456	(a.d.d.b.c.b.a)2025 数二	i.iv.iv.ii.iii.ii) 已知全微分 (a.d.d.b.c.b.a)2025 数二 设函数 f x,y 可微且满足 df x,y =-2xe-ydx + e-y x 2-y-1 dy,f 0,0 = 2, 求 f x,y , 并求 f x,y  的极值. 大观严选题 —— 澄潇宇 第 453 页，共 767 页
454	457	(a.d.d.b.c.c.a)2022 数二	i.iv.iv.ii.iii.iii) 已知关系式 (a.d.d.b.c.c.a)2022 数二 已知可微函数 f u,v 满足 ∂f u,v  ∂u - ∂f u,v  ∂v = 2u-v e-u+v , 且 f u,0 = u
455	458	i.iv.iv.ii.iv.i)2004 数一;880 第四章综合解答 12	(1.4.4.2.4) 多元隐函数极值 i.iv.iv.ii.iv.i)2004 数一;880 第四章综合解答 12 设 z = zx,y 是由 x 2- 6xy + 10y 2- 2yz - z2+ 18 = 0 确定的函数, 求 z = zx,y 的极值点和极值. 大观严选题 —— 澄潇宇 第 455 页，共 767 页
456	459	(a.d.d.c.a.a.a)2006 数一二三	a.d.d.c) 条件极值 (1.4.4.3.1 直接给出 i.iv.iv.iii. i. i) 单约束 (a.d.d.c.a.a.a)2006 数一二三 (10) 设 f x,y 与 φx,y 均为可微函数, 且 φ ′yx,y ≠ 0.已知 x0 ,y  0 是 f x,y 在约束条件
457	460	(a.d.d.c.a.a.b)2010 数三	(a.d.d.c.a.a.b)2010 数三 求函数 u = xy + 2yz 在约束条件 x 2+ y 2+ z2 = 10 下的最大值和最小值. 大观严选题 —— 澄潇宇 第 457 页，共 767 页
458	461	(a.d.d.c.a.b.a)2008 数二;880 第四章基础解答 8	i.iv.iv.iii. i.ii) 双约束 (a.d.d.c.a.b.a)2008 数二;880 第四章基础解答 8 求函数 u = x 2+ y 2+ z2在约束条件 z = x 2+ y
459	462	(a.d.d.c.b.a.a)2013 数二	(1.4.4.3.2) 需要处理条件 i.iv.iv.iii.ii.i) 距离 (a.d.d.c.b.a.a)2013 数二 求曲线 x 3- xy + y 3 = 1x≥0,y≥0 上的点到坐标原点的最长距离与最短距离. 大观严选题 —— 澄潇宇
460	463	(a.d.d.c.b.a.b)2021 数一 (仅数学一)	(a.d.d.c.b.a.b)2021 数一 (仅数学一) 已知曲线 C: x 2+2y 2-z=6, 4x+2y+z=30,   求 C 上的点到 xOy 坐标面距离的最大值. 大观严选题 —— 澄潇宇
461	464	(a.d.d.c.b.b.a)2018 数一二三	i.iv.iv.iii.ii.ii) 面积 (a.d.d.c.b.b.a)2018 数一二三 将长为 2m 的铁丝分成三段, 依次围成圆、正方形与正三角形.三个图形的面积之和是否存在最小值？ 若存在,求出最小值. 大观严选题 —— 澄潇宇 第 461 页，共 767 页
462	465	i.iv.iv.iv.i.i)2014 数二	a.d.d.d) 闭区域最值 (1.4.4.4.1 判断最值点位置 i.iv.iv.iv.i.i)2014 数二 (6) 设函数 ux,y 在有界闭区域 D 上连续, 在 D 的内部具有二阶连续偏导数, 且满足 ∂ 2u ∂x∂y ≠ 0 及
463	466	i.iv.iv.iv.ii.i)2005 数二	(1.4.4.4.2) 闭区域 i.iv.iv.iv.ii.i)2005 数二 已知函数 z = f x,y 的全微分 dz = 2xdx - 2ydy, 并且 f 1,1 = 2.求 f x,y 在椭圆域 D = x,y x 2+ y
464	467	i.iv.iv.iv.ii.ii)2007 数一	i.iv.iv.iv.ii.ii)2007 数一 求函数 f x,y = x 2+ 2y 2- x 2y 2在区域 D = x,y ∣x
465	468	i.iv.iv.iv.ii.iii)2024 数一 (仅数学一)	i.iv.iv.iv.ii.iii)2024 数一 (仅数学一) 已知函数 f x,y = x 3+ y 3- x+y 2+ 3, 设 T 是曲面 z = f x,y 在点 1,1,1 处的切平面, D 为 T 与坐 标平面所围有界区域在 xOy 平面上的投影. (I) 求 T 的方程; (II) 求 f x,y 在 D 上的最大值和最小值. 大观严选题 —— 澄潇宇
466	469	i.iv.iv.iv.iii.i)2022 数一	(1.4.4.4.3) 确定多元函数不等式参数取值范围 i.iv.iv.iv.iii.i)2022 数一 当 x ≥ 0,y ≥ 0 时， x 2+ y 2 ≤ kex+y恒成立，则 k 的取值范围是 _____. 大观严选题 —— 澄潇宇 第 466 页，共 767 页
467	470	(1.5.1.1.1)2017 数二	五、二重积分 1.5.1.计算 a.e.a.a) 直接给出累次积分 (1.5.1.1.1)2017 数二 1 0 dy
468	471	(1.5.1.1.2)2014 数三	(1.5.1.1.2)2014 数三 1 0 dy  1 y e
469	472	(1.5.1.1.3)2022 数二	(1.5.1.1.3)2022 数二 【例 6.4】 (2022，数二) 2 0 dy  2
470	473	(1.5.1.1.4)2018 数二	(1.5.1.1.4)2018 数二 【例 6.12】 (2018, 数二) 0-1dx  2-x 2 -x 1-xy 
471	474	i.v.i.ii.i.i)2015 数二三	a.e.a.b) 直角坐标 (1.5.1.2.1 常规题 i.v.i.ii.i.i)2015 数二三 计算二重积分 Dx  x+y dxdy, 其中 D = x,y ∣x 2+y 2≤2,y≥x  2
472	475	i.v.i.ii.i.ii)2016 数三	i.v.i.ii.i.ii)2016 数三 设 D =  x,y ∥x∣≤y≤1,-1≤x≤1 , 则 Dx 2  e-y 2 dxdy = _____. 大观严选题 —— 澄潇宇 第 472 页，共 767 页
473	476	i.v.i.ii.i.iii)2017 数三	i.v.i.ii.i.iii)2017 数三 计算积分 D y 3 1+x 2+y 4
474	477	i. v. i. ii. i.iv)2026 数三	i. v. i. ii. i.iv)2026 数三 设平面区域 D =  x,y ∣0≤x≤1,0≤y≤1 , 计算 D y 1+x 2+y 2  
475	478	i.v.i.ii.i.v)2018 数三	i.v.i.ii.i.v)2018 数三 【例 6.6】 (2018, 数三) 设区域 D 由曲线 y = 3 1-x 2  与直线 y = 3 x 及 y 轴围成, 计算二重积分 Dx 2  dxdy
476	479	i.v.i.ii.i.vi)2024 数二三	i.v.i.ii.i.vi)2024 数二三 17.设平面有界区域 D 位于第一象限, 由曲线 xy = 1 3 ,xy = 3 与直线 y = 1
477	480	i.v.i.ii.ii.i)2011 数一二	(1.5.1.2.2) 二重积分与多元微分结合 (罕见) i.v.i.ii.ii.i)2011 数一二 【例 6.2】 (2011, 数一、数二) 已知函数 f x,y 具有二阶连续偏导数, 且 f 1,y = 0,f x,1 = 0, D f  x,y dxdy = a, 其中 D =  x,y ∣0≤x≤1,0≤y≤1 , 计算二重积分 I = Dxy  f
478	481	i.v.i.ii.iii.i)2018 数二	(1.5.1.2.3) 积分区域 D 由参数方程给出 (摆线) i.v.i.ii.iii.i)2018 数二 【例 6.3】 (2018, 数二) 设平面区域 D 由曲线 x=t-sint y=1-cost  0≤t≤2π  
479	482	i.v.i.ii.iv.i)2010 数二	(1.5.1.2.4) 极坐标逆问题 i.v.i.ii.iv.i)2010 数二 【例 6.9】 (2010, 数二) 计算二重积分 I = D r2 
480	483	i.v.i.iii.i.i)2021 数三;1000 强化	a.e.a.c) 极坐标 (1.5.1.3.1 圆域相关 i.v.i.iii.i.i)2021 数三;1000 强化 设有界区域 D 是圆 x 2+ y 2 = 1 和直线 y = x 以及 x 轴在第一象限围成的部分, 计算二重积分 De
481	484	i.v.i.iii. i.ii)2020 数三	i.v.i.iii. i.ii)2020 数三 设 D = x,y ∣x 2+y   2≤1,y≥0  , 连续函数 f x,y 满足 f x,y = y 1-x 2 + x
482	485	i. v. i.iii. i.iii)2024 数一	i. v. i.iii. i.iii)2024 数一 已知平面区域 D = x,y  1-y    2≤x≤1,-1≤y≤1  ，计算 D x x 2+y
483	486	i.v. i.iii. i.iv)2025 数二	i.v. i.iii. i.iv)2025 数二 已知平面有界区域 D = x,y ∣x 2+y 2≤4x,x 2+y   2≤4y 
484	487	i. v. i.iii.i.v)2025 数三	i. v. i.iii.i.v)2025 数三 已知平面有界区域 D = x,y ∣ y 2≤x,x   2≤y  , 计算二重积分 D x-y+1 2  dxdy
485	488	i. v. i.iii.ii.i)2011 数二	(1.5.1.3.2) 偏心圆域相关 i. v. i.iii.ii.i)2011 数二 设平面区域 D 由直线 y = x, 圆 x 2+ y 2 = 2y 及 y 轴所围成, 则二重积分 Dxy  dσ = _____. 大观严选题 —— 澄潇宇 第 485 页，共 767 页
486	489	i. v. i.iii.ii.ii)2009 数二三	i. v. i.iii.ii.ii)2009 数二三 【例 6.10】 (2009, 数二、数三) 计算二重积分 D  x-y dxdy, 其中 D = x,y ∣ x-1 2+ y-1 2   ≤2,y≥x  
487	490	i. v. i. iii. iii. ii)2022 数一二三	(1.5.1.3.3) 其他 i. v. i. iii. iii. ii)2022 数一二三 【例 6.4】 (2022, 数一、数二) 设平面区域 D = x,y ∣ y-2≤x≤ 4-y 2   ,0≤y≤2 
488	491	i.v.i.iii.iii.ii)2020 数二	i.v.i.iii.iii.ii)2020 数二 【例 6.9】 (2020, 数二) 设区域 D 由直线 x = 1,x = 2,y = x 与 x 轴围成, 计算二重积分 D x 2+y 2  x dxdy 大观严选题 —— 澄潇宇
489	492	i.v.i.iii.iv.i)2012 数二	(1.5.1.3.4) 积分区域以极坐标方程给出 i.v.i.iii.iv.i)2012 数二 计算二重积分 Dxy  dσ, 其中区域 D 由曲线 r = 1 + cosθ0≤θ≤π 与极轴围成. 大观严选题 —— 澄潇宇 第 489 页，共 767 页
490	493	i. v. i. iii.iv. ii)2016 数一	i. v. i. iii.iv. ii)2016 数一 已知平面区域 D = r,θ ∣2≤r≤21+cosθ ,- π 2 ≤θ≤ π 2
491	494	i. v. i.iii.v.i)2019 数二	(1.5.1.3.5) 积分区域难画 i. v. i.iii.v.i)2019 数二 设平面区域 D = x,y  x≤y, x 2+y 2  3≤y
492	495	i.v.i.iii.v.ii)2026 数二	i.v.i.iii.v.ii)2026 数二 计算 I = 1-1d  x 2-x 2 x y
493	496	i.v. i.iii.v.iii)2021 数二	i.v. i.iii.v.iii)2021 数二 曲线 x 2+y 2  2 = x 2- y
494	497	i. v. i.iii.v.iv)2023 数二	i. v. i.iii.v.iv)2023 数二 设平面有界区域 D 位于第一象限, 由曲线 x 2+ y 2- xy = 1,x 2+ y 2- xy = 2 与直线 y = 3 x,y = 0 围
495	498	i.v. i.iii.vi. i)2004 数三	(1.5.1.3.6) 被积函数为若干项相加 i.v. i.iii.vi. i)2004 数三 求 D x 2+y   2+y dσ, 其中 D 是由圆 x 2+ y
496	499	i. v. i.iii.vi.ii)2017 数二	i. v. i.iii.vi.ii)2017 数二 计算二重积分 D x+1 2  dxdy, 其中 D = x,y ∣x 2+y   2≤2y  . 大观严选题 —— 澄潇宇
497	500	i.v. i.iii.vi.iii)2016 数二	i.v. i.iii.vi.iii)2016 数二 【例 6.14】 (2016, 数二) 设区域 D 由直线 y = 1,y = x,y =-x 围成, 计算二重积分 D x 2-xy-y 2 x 2+y
498	501	i. v. i. iii.vii. i)2014 数二三	(1.5.1.3.7) 被积函数分子是分母其中一项 i. v. i. iii.vii. i)2014 数二三 【例 6.17】 (2014, 数二、三) 计算二重积分 D xsin π x 2+y 2    x+y
499	502	i.v.i.iv.i.i)2003 数三	a.e.a.d) 被积函数为分段函数 (1.5.1.4.1 显式分段 i.v.i.iv.i.i)2003 数三 (3) 设 a > 0,f x = gx = a,若0≤x≤1, 0,其他  
500	503	i. v. i.iv.i.ii)2022 数三	i. v. i.iv.i.ii)2022 数三 已知函数 f x = e x , 0≤x≤1, 0, 其他,  
501	504	(a.e.a.d.b.a.a)2005 数二三	(1.5.1.4.2) 隐式分段 i.v.i.iv.ii.i) 绝对值 (a.e.a.d.b.a.a)2005 数二三 计算二重积分 D x 2+y   2-1dσ, 其中 D =  x,y ∣0≤x≤1,0≤y≤1 
502	505	(a.e.a.d.b.a.b)2023 数三	(a.e.a.d.b.a.b)2023 数三 已知平面区域 D = x,y ∣ x-1 2+y   2≤1   , 计算二重积分 D x 2+y
503	506	(a.e.a.d.b.b.a)1995 数三	i.v.i.iv.ii.ii) 最大值最小值 (a.e.a.d.b.b.a)1995 数三 计算二次积分 I = +∞ -∞ +∞
504	507	(a.e.a.d.b.b.b)2002 数一	(a.e.a.d.b.b.b)2002 数一 计算二重积分 Demax x 2 ,y  2  
505	508	(a.e.a.d.b.b.c)2008 数二三	(a.e.a.d.b.b.c)2008 数二三 计算 Dmax  {xy,1}dxdy, 其中 D =  x,y ∣0≤x≤2,0≤y≤2  大观严选题 —— 澄潇宇 第 505 页，共 767 页
506	509	(a.e.a.d.b.c.a)2005 数一	i.v.i.iv.ii.iii) 取整 (a.e.a.d.b.c.a)2005 数一 设 D = x,y ∣x 2+y   2≤ 2,x≥0,y≥0  , 1+x
507	510	i.v.ii.i.i.i)2007 数二三	1.5.2.其他 a.e.b.a) 交换积分次序 (1.5.2.1.1 直角坐标交换 i.v.ii.i.i.i)2007 数二三 (8) 设函数 f x,y 连续，则二次积分 π π
508	511	i. v. ii. i. i. ii)2024 数二三	i. v. ii. i. i. ii)2024 数二三 6.设 f x,y 是连续函数, 则 π 2π 6 dx 
509	512	i. v. ii. i. i.ii)2001 数一	i. v. ii. i. i.ii)2001 数一 交换积分次序 0-1dy  1-y 2 f  x,y dx = _____. 大观严选题 —— 澄潇宇
510	513	i.v.ii.i.i.iv)2025 数一二	i.v.ii.i.i.iv)2025 数一二 4.设函数 f x,y 连续, 则 2-2d  x 4 4-x 2 f  x,y dy =
511	514	i.v.ii.i.i.v)2025 数三	i.v.ii.i.i.v)2025 数三 4.设函数 f x 连续, 则 1 0 d  y y0 f  x dx
512	515	i.v.ii.i.ii.i)2006 数一二	(1.5.2.1.2) 极直互换 i.v.ii.i.ii.i)2006 数一二 (8) 设 f x,y 为连续函数，则 π 40 d  θ 1
513	516	i. v. ii. i. ii. ii)2012 数三	i. v. ii. i. ii. ii)2012 数三 (3) 设函数 f t 连续，则二次积分 π 20 d  θ 2 2cosθ
514	517	i. v. ii. i. ii. iii)2014 数一	i. v. ii. i. ii. iii)2014 数一 (3) 设 f x,y 是连续函数，则 1 0 d  y 1-y - 1-y 2 f  x,y dx = ( )
515	518	i. v. ii. i. ii.ii. i)2004 数二	(1.5.2.1.3) 写极坐标 i. v. ii. i. ii.ii. i)2004 数二 【例 6.7】 (2004, 数二) 设 f u 连续, 区域 D = x,y ∣x 2+y   2≤2y  , 则 D
516	519	i.v.ii.i.iii.ii)2015 数一二	i.v.ii.i.iii.ii)2015 数一二 (4) 设 D 是第一象限中的曲线 2xy = 1,4xy = 1 与直线 y = x,y = 3 x 围成的平面区域, 函数 f x,y 在 D 上连续, 则 D f  x,y dxdy = ( ) A. π
517	520	(1.5.2.2.1)2005 数三;880 综合选择 1	a.e.b.b) 二重积分比大小以及定正负 (1.5.2.2.1)2005 数三;880 综合选择 1 (8) 设 I1 = Dcos  x 2+y 2 dσ,I2 =
518	521	(1.5.2.2.2)2009 数一	(1.5.2.2.2)2009 数一 (2) 如图，正方形  x,y ||x≤1, y≤1 被其对角线划分为四个区域 Dk k=1,2,3,4 , Ik = Dk y  cosxdxdy, 则 max 1≤k≤4 Ik 
519	522	(1.5.2.2.3)2013 数二三	(1.5.2.2.3)2013 数二三 【例 6.16】 (2013, 数二、三) 设 Dk 为圆域 D = x,y ∣x 2+y   2≤1  位于第 k 象限的部分. 记 Ik = Dk   y-x dxdyk=1,2,3,4 , 则 I
520	523	(1.5.2.2.4)2016 数三;25 版 0.1w 强化 5	(1.5.2.2.4)2016 数三;25 版 0.1w 强化 5 【例 6.7】 (2016, 数三) 设 Ji = Di 3 x-y  dxdyi=1,2,3 , 其中 D1 =  x,y ∣0≤x≤1,0≤y≤1 , D2 =  x,y ∣0≤x≤1,0≤y≤ x ,D3 = x,y ∣0≤x≤1,x   2≤y≤1  ,则
521	524	(1.5.2.2.5)2019 数二	(1.5.2.2.5)2019 数二 5.已知平面区域 D = x,y ||x+ y∣≤ π 2   
522	525	(1.5.2.3.1)2008 数学二三	a.e.b.c) 以二重积分形式给出的函数 (1.5.2.3.1)2008 数学二三 (4) 设函数 f 连续，若 f u,v = Duv f x 2+y 2  
523	526	(1.5.2.3.2)2021 数二	(1.5.2.3.2)2021 数二 已知函数 f t = t21 d  x t x sin  x y dy, 则 f  π
524	527	(1.5.2.4.1)1999 数三	a.e.b.d) 利用含二重积分等式求函数表达式 (1.5.2.4.1)1999 数三 (2) 设 f x,y 连续，且 f x,y = xy + D f  u,v dudv，其中 D 是由 y = 0,y = x 2
525	528	(1.5.2.5.1)1995 数一;880 基础填空 5	a.e.b.e) 抽象函数二重积分 (1.5.2.5.1)1995 数一;880 基础填空 5 设函数 f x 在区间 0,1 上连续, 并设 1 0 f  x dx = A, 求
526	529	(1.5.2.5.2)2005 数二;880 基础填空 4	(1.5.2.5.2)2005 数二;880 基础填空 4 【例 6.15】 (2005, 数二) 设区域 D = x,y ∣x 2+y   2≤4,x≥0,y≥0  ,f x 为正值连续函数, a,b 为常数, 则 D a f x +b f  y  f x + f  y   dxdy = ( )
527	530	(1.6.1.1.1)2010 数二三;880 第六章综合选择 4	六、微分方程 1.6.1.微分方程解的性质与结构 a.f .a.a) 一阶 (1.6.1.1.1)2010 数二三;880 第六章综合选择 4 (2) 设 y1 ,y2是一阶线性非齐次微分方程 y
528	531	(1.6.1.1.2)2026 数二	(1.6.1.1.2)2026 数二 设 y1 x ,y2 x 是某 2 阶非齐次线性微分方程的两个特解.若常数 λ,μ 使得 2λy1 x + μy2 x 是该方程
529	532	(1.6.1.1.3)2006 数三	(1.6.1.1.3)2006 数三 (10) 设非齐次线性微分方程 y  + Px y = Qx 有两个的解 y1 x ,y2 x ,C 为任意常数, 则该方程通解 是 ( )
530	533	(1.6.1.2.1)1989 数一	a.f .a.b) 二阶及以上 (1.6.1.2.1)1989 数一 (3) 设线性无关的函数 y1 ,y2 ,y3都是二阶非齐次线性方程 y + px y  + qx y = f x 的特解, C1
531	534	(1.6.1.2.2)2013 数一二	(1.6.1.2.2)2013 数一二 (13) 已知 y1 = e 3x- xe2x ,y2 = e x- xe2x ,y3 =-xe2x是某二阶常系数非齐次线性微分方程的三个解, 则
532	535	(a.f .b.a.a.a.a)2006 数一二	1.6.2.解微分方程 a.f .b.a) 一阶 (1.6.2.1.1 基本类型 i.vi.ii.i.i.i) 可分离变量 (a.f .b.a.a.a.a)2006 数一二 微分方程 y  =
533	536	i.vi.ii.i.i.ii) 一侧为 x 分之 y 的函数 (齐次方程) (a.f .b.a.a.b.a)2007 数三	i.vi.ii.i.i.ii) 一侧为 x 分之 y 的函数 (齐次方程) (a.f .b.a.a.b.a)2007 数三 微分方程 dy dx = y x - 1
534	537	(a.f .b.a.a.c.a)2024 数一二;1800(先于真题出现)	i. vi.ii.i.i.ii) 一侧为 xy 线性组合的函数 (a.f .b.a.a.c.a)2024 数一二;1800(先于真题出现) 微分方程 y  = 1 x+y 2 满足条件 y1 = 0 的解为 _____. 大观严选题 —— 澄潇宇
535	538	i.vi.ii.i.i.iv.i.i)2011 数一二	i. vi.ii.i.i.iv) 一阶线性非齐次 (a.f .b.a.a.d.a) 非齐次项为普通函数 i.vi.ii.i.i.iv.i.i)2011 数一二 微分方程 y  + y = e-xcosx 满足条件 y0 = 0 的解为 y = _____. 大观严选题 —— 澄潇宇 第 535 页，共 767 页
536	539	i.vi.ii.i.i.iv.ii.i)1999 数三	(a.f .b.a.a.d.b) 非齐次项为分段函数 i.vi.ii.i.i.iv.ii.i)1999 数三 设有微分方程 y  - 2y = φx , 其中 φx = 2, x<1, 0, x>1.  
537	540	i.vi.ii.i.ii.i.i.i.i)2019 数一	(1.6.2.1.2) 有显著特征 i.vi.ii.i.ii.i) 框框 y 撇 (a.f .b.a.b.a.a)2yy 撇 i.vi.ii.i.ii.i.i.i.i)2019 数一 微分方程 2yy - y 2- 2 = 0 满足条件 y0 = 1 的特解 y = (a.f .b.a.b.a.b)xy 撇
538	541	i.vi.ii.i.ii.i.ii.i2014 数一	i.vi.ii.i.ii.i.ii.i2014 数一 微分方程 xy + ylnx-lny = 0 满足条件 y1 = e 3的解为 y = _____. 大观严选题 —— 澄潇宇 第 538 页，共 767 页
539	542	i. vi. ii. i. i. ii. i. ii. ii)2008 数一三	i. vi. ii. i. i. ii. i. ii. ii)2008 数一三 微分方程 xy + y = 0 满足条件 y1 = 1 的解 y = _____. 大观严选题 —— 澄潇宇 第 539 页，共 767 页
540	543	i. vi.ii.i.ii.i.ii.iii)2025 数三	i. vi.ii.i.ii.i.ii.iii)2025 数三 微分方程 xy - y + x 2e x = 0 满足条件 y1 - e 的解为 y = _____. 大观严选题 —— 澄潇宇 第 540 页，共 767 页
541	544	i.vi.ii.i.ii.i.ii.i.iii.i)2001 数二	(a.f .b.a.b.a.c) 三角 y 撇 i.vi.ii.i.ii.i.ii.i.iii.i)2001 数二 过点 1 2 ,0  且满足关系式 y arcsinx +
542	545	i.vi.ii.i.ii.i.iv.i)1991 数三	(a.f .b.a.b.a.d) 其他 y 撇 i.vi.ii.i.ii.i.iv.i)1991 数三 求微分方程 xy dy dx = x 2+ y
543	546	i.vi.ii.i.ii.i.iv.ii)1993 数一	i.vi.ii.i.ii.i.iv.ii)1993 数一 求微分方程 x 2y  + xy = y 2满足初始条件 y1 = 1 的特解. 大观严选题 —— 澄潇宇 第 543 页，共 767 页
544	547	i.vi.ii.i.ii.ii.ii.i1994 数二	i.vi.ii.i.ii.ii) 框框 dx 框框 dy (a.f .b.a.b.b.a) 简单分离 i.vi.ii.i.ii.ii.ii.i1994 数二 微分方程 ydx + x 2-4x dy = 0 的通解为 _____ 大观严选题 —— 澄潇宇 第 544 页，共 767 页
545	548	i. vi.ii.i.ii.ii.ii.ii.i2025 数二	(a.f .b.a.b.b.b) 齐次 i. vi.ii.i.ii.ii.ii.ii.i2025 数二 微分方程 2y-3x dx + 2x-5y dy = 0 满足条件 y1 = 1 的解为 _____. 大观严选题 —— 澄潇宇 第 545 页，共 767 页
546	549	i.vi.ii.i.ii.ii.ii.ii.i)1993 数二	(a.f .b.a.b.b.c) 一阶线性 i.vi.ii.i.ii.ii.ii.ii.i)1993 数二 求微分方程 x 2-1 dy + 2xy-cosx dx = 0 满足初始条件 y0 = 1 的特解. 大观严选题 —— 澄潇宇 第 546 页，共 767 页
547	550	i. vi.ii.i.ii.ii.ii.iii.ii)1990 数二	i. vi.ii.i.ii.ii.ii.iii.ii)1990 数二 求微分方程 xlnxdy +  y-lnx dx = 0 满足条件 y x=e = 1 的特解. 大观严选题 —— 澄潇宇 第 547 页，共 767 页
548	551	i.vi.ii.i.ii.ii.iv.i)1996 数三	(a.f .b.a.b.b.d) 含根号下平方和 i.vi.ii.i.ii.ii.iv.i)1996 数三 求微分方程 dy dx = y- x 2+y
549	552	i. vi. ii. i. ii. ii. v. i)2012 数二	(a.f .b.a.b.b.e) 罕见类型 i. vi. ii. i. ii. ii. v. i)2012 数二 微分方程 ydx + x-3y 2  dy = 0 满足初始条件 y1 = 1 的解为 y = _____. 大观严选题 —— 澄潇宇 第 549 页，共 767 页
550	553	i. vi.ii.i.i.ii.ii.vi.i)1994 数一;26 版 1000 第十五章强化 51	(a.f .b.a.b.b.f) 全微分方程 (数学一) i. vi.ii.i.i.ii.ii.vi.i)1994 数一;26 版 1000 第十五章强化 51 设 f x 具有二阶连续导数, f 0 = 0,f  0 = 1, 且 xyx+y - f x y dx + f  x +x 2  y dy = 0 为一全 微分方程, 求 f x 及此全微分方程的通解. 大观严选题 —— 澄潇宇
551	554	(a.f .b.b.a.a.a)2015 数二三	a.f .b.b) 二阶 (1.6.2.2.1 二阶常系数 i.vi.ii.ii.i.i.i) 二阶常系数线性齐次 (a.f .b.b.a.a.a)2015 数二三 设函数 y = yx 是微分方程 y + y  - 2y = 0 的解, 且在 x = 0 处 yx 取得极值 3, 则 yx = 大观严选题 —— 澄潇宇 第 551 页，共 767 页
552	555	(a.f .b.b.a.a.b)2017 数一	(a.f .b.b.a.a.b)2017 数一 微分方程 y + 2y  + 3y = 0 的通解为 y = _____. 大观严选题 —— 澄潇宇 第 552 页，共 767 页
553	556	i.vi.ii.ii.i.i.i.i.i.i)2004 数二	i. vi. ii. ii. ii. ii. ii) 二阶常系数线性非齐次 (a.f .b.b.a.b.a) 只设不求 i.vi.ii.ii.i.i.i.i.i.i)2004 数二 (11) 微分方程 y + y = x 2+ 1 + sinx 的特解形式可设为 ( ). A. y * = ax2+ bx + c + xAsinx+Bcosx  B. y * = x ax  2+bx+c+Asinx+Bcosx 
554	557	i. vi. ii. ii. ii. i. ii. i. ii)2011 数二	i. vi. ii. ii. ii. i. ii. i. ii)2011 数二 (4) 微分方程 y - λ 2y = e λx+ e-λxλ>0 的特解形式为 ( ) A. a e λx+e-λx  . B. ax e
555	558	i. vi.ii.ii.i.i.ii.i.iii.i2017 数二	i. vi.ii.ii.i.i.ii.i.iii.i2017 数二 (4) 微分方程 y - 4y  + 8y = e 2x 1+cos2x 的特解可设为 y * = ( )
556	559	i.vi.ii.ii.i.ii.ii.i1996 数二	(a.f .b.b.a.b.b) 非齐次项为幂指函数 i.vi.ii.ii.i.ii.ii.i1996 数二 求微分方程 y + y  = x 2的通解. 大观严选题 —— 澄潇宇 第 556 页，共 767 页
557	560	i.vi. ii. ii. i. ii. ii. ii. ii)2026 数三	i.vi. ii. ii. i. ii. ii. ii. ii)2026 数三 微分方程 y - 2y  = e x , 满足 y0 = 1,y  0 = 1, 则解为 y = _____. 大观严选题 —— 澄潇宇
558	561	i.vi.ii.ii.i.ii.ii.iii)1988 数一二	i.vi.ii.ii.i.ii.ii.iii)1988 数一二 设函数 y = yx 满足微分方程 y - 3y  + 2y = 2ex , 且其图形在点 0,1 处的切线与曲线 y = x 2- x + 1 在该点的切线重合, 求函数 y = yx .大观严选题 —— 澄潇宇
559	562	i.vi. ii. ii. ii. ii. ii. ii. iv)2010 数一	i.vi. ii. ii. ii. ii. ii. ii. iv)2010 数一 求微分方程 y - 3y  + 2y = 2xex的通解. 大观严选题 —— 澄潇宇 第 559 页，共 767 页
560	563	i.vi.ii.ii.i.i.ii.ii.i)1990 数二	(a.f .b.b.a.b.c) 非齐次项含未知数 i.vi.ii.ii.i.i.ii.ii.i)1990 数二 求微分方程 y + 4y  + 4y = e ax的通解, 其中 a 为实数. 大观严选题 —— 澄潇宇 第 560 页，共 767 页
